ID_животного,Вид,Время_наблюдения,Тип_локации,Уровень_шума_дБ,Плотность_населения,Оценка_источника_пищи,Оценка_качества_укрытия,Оценка_аномалии_поведения,Оценка_суточной_дистанции_км,Сигнал_адаптации
HAYVAN_0146,Лиса,Вечер,Промышленная зона,83.4,23.2,7,5,0.34,0.88,Привыкание
HAYVAN_0147,Лиса,Ночь,Торговая зона,64.5,23.4,10,9,0.19,0.82,Избегание
HAYVAN_0148,Енот,После полудня,Торговая зона,50.1,30.8,6,7,0.22,0.06,Инновационность
HAYVAN_0149,Лиса,Вечер,Парк,77.8,26.9,8,10,0.63,1.19,Инновационность
HAYVAN_0150,Белка,Утро,Промышленная зона,63.6,28.8,6,5,0.17,3.93,Эксплуатация
HAYVAN_0151,Енот,После полудня,Торговая зона,43.5,32.1,7,8,0.08,1.81,Избегание
HAYVAN_0152,Лиса,Вечер,Торговая зона,66.5,59.7,2,10,0.11,3.07,Инновационность
HAYVAN_0153,Голубь,Ночь,Торговая зона,67.3,34.1,9,4,0.13,2.07,Инновационность
HAYVAN_0154,Голубь,Вечер,Парк,75.8,42.4,9,2,0.2,0.56,Эксплуатация
HAYVAN_0155,Лиса,Утро,Парк,29.1,40.0,7,7,0.62,1.23,Инновационность
HAYVAN_0156,Енот,После полудня,Жилая зона,76.5,35.3,5,6,0.09,0.98,Инновационность
HAYVAN_0157,Лиса,Вечер,Жилая зона,60.3,26.0,9,8,0.32,0.94,Эксплуатация
HAYVAN_0158,Белка,Вечер,Торговая зона,84.3,42.1,3,3,0.38,4.33,Привыкание
HAYVAN_0159,Лиса,Вечер,Промышленная зона,47.8,3.7,5,4,0.12,0.12,Привыкание
HAYVAN_0160,Голубь,После полудня,Торговая зона,70.5,53.1,6,9,0.35,5.27,Привыкание
HAYVAN_0161,Голубь,Вечер,Промышленная зона,69.1,40.0,5,2,0.16,0.26,Привыкание
HAYVAN_0162,Лиса,Утро,Парк,60.8,31.5,7,2,0.15,0.24,Эксплуатация
HAYVAN_0163,Голубь,Утро,Жилая зона,57.3,29.8,1,6,0.59,1.25,Привыкание
HAYVAN_0164,Енот,Ночь,Парк,61.3,33.3,3,2,0.12,0.64,Привыкание
HAYVAN_0165,Голубь,Ночь,Промышленная зона,61.5,42.2,8,9,0.17,3.68,Избегание
HAYVAN_0166,Белка,Ночь,Промышленная зона,52.5,36.9,5,6,0.59,0.45,Избегание
HAYVAN_0167,Голубь,После полудня,Жилая зона,74.9,50.5,9,10,0.4,0.81,Эксплуатация
HAYVAN_0168,Белка,Утро,Парк,54.1,55.7,2,6,0.45,0.08,Привыкание
HAYVAN_0169,Лиса,Утро,Торговая зона,75.2,46.4,4,5,0.17,2.41,Привыкание
HAYVAN_0170,Голубь,Ночь,Парк,47.1,7.6,5,10,0.17,0.36,Инновационность
HAYVAN_0171,Лиса,Ночь,Промышленная зона,63.2,22.2,5,4,0.22,1.03,Инновационность
HAYVAN_0172,Енот,Вечер,Парк,63.4,44.7,4,1,0.13,1.7,Привыкание
HAYVAN_0173,Белка,Ночь,Жилая зона,64.8,62.0,1,9,0.22,0.05,Привыкание
HAYVAN_0174,Белка,После полудня,Парк,74.6,21.2,9,3,0.43,1.2,Эксплуатация
HAYVAN_0175,Белка,Ночь,Парк,63.0,39.0,6,5,0.18,1.54,Привыкание
HAYVAN_0176,Енот,Утро,Промышленная зона,60.4,48.4,5,1,0.12,0.41,Привыкание
HAYVAN_0177,Енот,После полудня,Торговая зона,63.0,31.6,4,1,0.23,0.46,Эксплуатация
HAYVAN_0178,Енот,Вечер,Торговая зона,74.8,11.7,1,3,0.4,1.47,Избегание
HAYVAN_0179,Голубь,После полудня,Жилая зона,52.9,59.3,9,8,0.51,1.6,Избегание
HAYVAN_0180,Голубь,Вечер,Жилая зона,54.8,17.0,10,5,0.52,0.17,Эксплуатация
HAYVAN_0181,Голубь,Вечер,Парк,45.4,18.9,8,4,0.15,1.49,Избегание
HAYVAN_0182,Енот,Утро,Торговая зона,85.3,34.0,4,1,0.71,2.85,Инновационность
HAYVAN_0183,Енот,После полудня,Жилая зона,53.4,30.8,8,8,0.24,1.29,Привыкание
HAYVAN_0184,Белка,Вечер,Торговая зона,46.1,16.2,5,2,0.27,2.66,Привыкание
HAYVAN_0185,Голубь,После полудня,Промышленная зона,56.9,55.1,3,1,0.17,3.4,Избегание
HAYVAN_0186,Белка,Вечер,Жилая зона,58.9,37.8,4,5,0.17,1.67,Инновационность
HAYVAN_0187,Енот,Ночь,Торговая зона,79.7,43.6,5,5,0.23,2.11,Эксплуатация
HAYVAN_0188,Голубь,Ночь,Торговая зона,60.4,29.4,6,8,0.21,0.01,Избегание
HAYVAN_0189,Белка,После полудня,Торговая зона,67.9,29.9,7,7,0.32,0.24,Эксплуатация
HAYVAN_0190,Голубь,После полудня,Промышленная зона,47.1,49.8,2,5,0.34,1.67,Избегание
HAYVAN_0191,Енот,Вечер,Парк,67.1,22.2,1,9,0.38,2.26,Привыкание
HAYVAN_0192,Лиса,Вечер,Жилая зона,48.5,24.7,2,3,0.11,1.34,Инновационность
HAYVAN_0193,Голубь,Вечер,Торговая зона,61.9,37.0,1,2,0.17,3.51,Привыкание
HAYVAN_0194,Лиса,Утро,Торговая зона,57.4,43.6,4,5,0.13,5.56,Инновационность
HAYVAN_0195,Енот,Утро,Жилая зона,65.6,43.6,1,6,0.22,0.31,Избегание
HAYVAN_0196,Лиса,После полудня,Жилая зона,71.3,15.9,8,7,0.64,2.81,Привыкание
HAYVAN_0197,Енот,После полудня,Промышленная зона,51.6,13.7,7,3,0.33,1.96,Инновационность
HAYVAN_0198,Лиса,Ночь,Парк,53.6,17.3,1,7,0.23,0.94,Привыкание
HAYVAN_0199,Голубь,Ночь,Торговая зона,66.9,43.3,5,3,0.17,0.82,Избегание
HAYVAN_0200,Енот,После полудня,Жилая зона,71.9,43.2,1,10,0.24,0.07,Инновационность
HAYVAN_0201,Голубь,Вечер,Парк,79.2,34.8,6,10,0.15,0.92,Избегание
HAYVAN_0202,Енот,Утро,Парк,60.3,34.5,6,5,0.3,1.14,Эксплуатация
HAYVAN_0203,Лиса,После полудня,Парк,50.1,5.2,6,2,0.33,1.12,Инновационность
HAYVAN_0204,Белка,После полудня,Парк,66.9,34.8,4,3,0.41,2.28,Привыкание
HAYVAN_0205,Лиса,Ночь,Торговая зона,57.1,6.4,4,3,0.4,1.86,Избегание
HAYVAN_0206,Голубь,После полудня,Парк,55.8,42.4,9,6,0.74,2.13,Избегание
HAYVAN_0207,Енот,Ночь,Торговая зона,79.1,25.3,4,8,0.19,0.25,Привыкание
HAYVAN_0208,Лиса,Утро,Жилая зона,71.2,33.6,9,4,0.62,1.23,Привыкание
HAYVAN_0209,Лиса,После полудня,Торговая зона,57.7,26.8,2,10,0.47,0.03,Эксплуатация
HAYVAN_0210,Енот,Утро,Парк,64.8,28.8,7,7,0.17,0.62,Инновационность
HAYVAN_0211,Лиса,Ночь,Жилая зона,64.1,13.3,5,10,0.33,0.59,Эксплуатация
HAYVAN_0212,Голубь,Вечер,Торговая зона,66.7,27.5,1,7,0.23,5.46,Эксплуатация
HAYVAN_0213,Голубь,Вечер,Торговая зона,60.9,29.1,4,2,0.37,2.5,Эксплуатация
HAYVAN_0214,Лиса,Утро,Жилая зона,46.0,33.1,3,5,0.1,1.16,Привыкание
HAYVAN_0215,Голубь,Вечер,Торговая зона,55.2,38.2,7,4,0.25,3.28,Привыкание
HAYVAN_0216,Голубь,Утро,Промышленная зона,59.7,37.2,8,3,0.25,0.04,Привыкание
HAYVAN_0217,Енот,Вечер,Парк,65.3,34.0,10,10,0.35,1.04,Избегание
HAYVAN_0218,Голубь,После полудня,Жилая зона,54.2,20.2,5,6,0.46,0.22,Эксплуатация
HAYVAN_0219,Белка,Ночь,Парк,66.9,10.5,10,6,0.24,1.61,Избегание
HAYVAN_0220,Енот,Вечер,Промышленная зона,61.2,15.0,4,3,0.25,0.31,Инновационность
HAYVAN_0221,Голубь,Утро,Жилая зона,57.4,17.7,9,1,0.22,0.88,Инновационность
HAYVAN_0222,Белка,Ночь,Парк,52.3,42.7,10,1,0.08,0.72,Избегание
HAYVAN_0223,Енот,После полудня,Торговая зона,69.5,46.1,1,7,0.16,7.73,Избегание
HAYVAN_0224,Белка,После полудня,Промышленная зона,69.2,18.1,5,8,0.25,1.9,Эксплуатация
HAYVAN_0225,Белка,Утро,Жилая зона,73.0,12.6,10,8,0.32,1.06,Избегание
HAYVAN_0226,Енот,Вечер,Промышленная зона,70.5,5.7,10,2,0.3,2.5,Инновационность
HAYVAN_0227,Голубь,Вечер,Торговая зона,71.2,20.6,8,3,0.29,2.27,Эксплуатация
HAYVAN_0228,Голубь,Ночь,Торговая зона,68.8,36.2,8,6,0.31,2.71,Инновационность
HAYVAN_0229,Голубь,Утро,Жилая зона,47.4,13.7,5,1,0.28,0.26,Эксплуатация
HAYVAN_0230,Енот,Утро,Жилая зона,62.2,47.8,6,9,0.08,4.19,Эксплуатация
HAYVAN_0231,Енот,Ночь,Промышленная зона,50.7,35.5,5,8,0.1,0.69,Избегание
HAYVAN_0232,Енот,Ночь,Жилая зона,78.7,46.0,5,8,0.5,0.26,Привыкание
HAYVAN_0233,Енот,Вечер,Парк,64.9,18.1,8,4,0.44,2.0,Эксплуатация
HAYVAN_0234,Белка,Ночь,Промышленная зона,77.7,40.7,8,1,0.49,0.35,Инновационность
HAYVAN_0235,Белка,Утро,Парк,54.7,13.4,5,7,0.12,2.52,Инновационность
HAYVAN_0236,Енот,После полудня,Промышленная зона,64.1,40.4,7,9,0.21,1.08,Избегание
HAYVAN_0237,Голубь,После полудня,Жилая зона,67.6,51.6,7,5,0.32,0.59,Привыкание
HAYVAN_0238,Белка,После полудня,Торговая зона,61.7,51.4,5,5,0.4,2.54,Эксплуатация
HAYVAN_0239,Голубь,После полудня,Торговая зона,66.9,22.0,7,10,0.39,0.58,Эксплуатация
HAYVAN_0240,Лиса,Утро,Промышленная зона,79.8,16.8,4,2,0.28,0.09,Инновационность
HAYVAN_0241,Енот,После полудня,Парк,54.7,27.5,8,7,0.39,0.02,Эксплуатация
HAYVAN_0242,Голубь,Утро,Торговая зона,38.6,53.6,3,4,0.16,0.89,Привыкание
HAYVAN_0243,Белка,Вечер,Промышленная зона,81.0,9.6,8,9,0.2,0.88,Привыкание
HAYVAN_0244,Голубь,После полудня,Промышленная зона,57.1,7.3,4,5,0.04,0.9,Привыкание
HAYVAN_0245,Енот,Утро,Торговая зона,76.2,-0.7,6,5,0.49,1.09,Инновационность
HAYVAN_0246,Голубь,Вечер,Торговая зона,71.5,31.4,8,4,0.3,0.33,Эксплуатация
HAYVAN_0247,Белка,Вечер,Парк,62.8,4.5,8,2,0.27,0.84,Инновационность
HAYVAN_0248,Голубь,Вечер,Жилая зона,68.8,47.9,9,6,0.48,0.76,Эксплуатация
HAYVAN_0249,Лиса,После полудня,Парк,53.6,54.6,6,4,0.13,0.54,Эксплуатация
HAYVAN_0250,Лиса,Ночь,Промышленная зона,65.9,27.9,6,3,0.43,1.7,Инновационность
HAYVAN_0251,Енот,Утро,Промышленная зона,70.9,65.9,2,5,0.21,1.1,Инновационность
HAYVAN_0252,Голубь,После полудня,Жилая зона,57.3,33.5,3,4,0.24,0.26,Инновационность
HAYVAN_0253,Лиса,Утро,Парк,61.2,22.4,1,2,0.14,0.34,Избегание
HAYVAN_0254,Голубь,Утро,Парк,68.1,22.2,3,4,0.65,0.63,Избегание
HAYVAN_0255,Енот,Ночь,Парк,78.2,51.5,7,10,0.09,0.44,Привыкание
HAYVAN_0256,Белка,После полудня,Торговая зона,65.0,41.9,2,1,0.33,0.36,Эксплуатация
HAYVAN_0257,Лиса,Ночь,Промышленная зона,60.7,-0.5,8,3,0.45,2.18,Эксплуатация
HAYVAN_0258,Белка,Вечер,Парк,63.5,1.8,3,10,0.24,0.94,Инновационность
HAYVAN_0259,Енот,После полудня,Торговая зона,76.6,8.0,3,8,0.2,1.77,Инновационность
HAYVAN_0260,Голубь,Вечер,Торговая зона,58.6,21.1,8,1,0.25,0.83,Избегание
HAYVAN_0261,Голубь,Ночь,Парк,62.0,10.5,6,2,0.48,3.36,Избегание
HAYVAN_0262,Енот,Вечер,Промышленная зона,58.7,18.5,5,9,0.54,3.12,Привыкание
HAYVAN_0263,Белка,Утро,Жилая зона,63.0,17.7,6,5,0.43,1.41,Эксплуатация
HAYVAN_0264,Енот,Ночь,Жилая зона,67.1,13.2,9,9,0.26,0.94,Привыкание
